year,month,day,temp,temp_source,tmin,tmin_source,tmax,tmax_source,rhum,rhum_source,prcp,prcp_source,snwd,snwd_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,tsun,tsun_source,cldc,cldc_source
2024,1,1,6.1,ghcnd,2.2,ghcnd,8.3,ghcnd,60,isd_lite,0.3,ghcnd,0,ghcnd,10.8,ghcnd,,,1016.5,isd_lite,,,6,dwd_mosmix isd_lite
2024,1,2,2.6,ghcnd,-1.0,ghcnd,6.1,ghcnd,54,isd_lite,0.0,ghcnd,0,ghcnd,15.1,ghcnd,,,1017.8,isd_lite,,,0,isd_lite
2024,1,3,4.1,ghcnd,1.7,ghcnd,6.1,ghcnd,56,isd_lite,0.0,ghcnd,0,ghcnd,14.8,ghcnd,,,1016.1,isd_lite,,,5,isd_lite dwd_mosmix
2024,1,4,4.8,ghcnd,-1.6,ghcnd,7.2,ghcnd,52,isd_lite,0.0,ghcnd,0,ghcnd,24.1,ghcnd,,,1015.8,isd_lite,,,5,isd_lite dwd_mosmix
2024,1,5,0.1,ghcnd,-2.7,ghcnd,3.3,ghcnd,47,isd_lite,0.0,ghcnd,0,ghcnd,19.1,ghcnd,,,1024.3,isd_lite,,,2,isd_lite dwd_mosmix
2024,1,6,1.6,ghcnd,0.0,ghcnd,3.3,ghcnd,65,isd_lite,8.6,ghcnd,0,ghcnd,19.4,ghcnd,,,1017.9,isd_lite metar,,,7,dwd_mosmix isd_lite
2024,1,7,2.7,ghcnd,1.7,ghcnd,3.9,ghcnd,81,isd_lite,4.3,ghcnd,0,ghcnd,25.6,ghcnd,,,1005.1,isd_lite metar,,,7,dwd_mosmix isd_lite
2024,1,8,4.1,ghcnd,2.8,ghcnd,7.2,ghcnd,53,isd_lite,0.0,ghcnd,0,ghcnd,17.6,ghcnd,,,1025.8,isd_lite,,,3,isd_lite dwd_mosmix
2024,1,9,4.9,ghcnd,0.6,ghcnd,13.9,ghcnd,73,isd_lite,49.5,ghcnd,0,ghcnd,24.5,ghcnd,,,1017.8,isd_lite,,,7,dwd_mosmix isd_lite
2024,1,10,10.9,ghcnd,7.2,ghcnd,13.3,ghcnd,57,isd_lite,8.1,ghcnd,0,ghcnd,29.5,ghcnd,,,992.3,isd_lite,,,6,dwd_mosmix isd_lite
2024,1,11,7.0,ghcnd,5.6,ghcnd,7.8,ghcnd,46,isd_lite,0.0,ghcnd,0,ghcnd,20.5,ghcnd,,,1010.2,isd_lite,,,5,isd_lite dwd_mosmix
2024,1,12,7.2,ghcnd,5.6,ghcnd,10.0,ghcnd,55,isd_lite,1.5,ghcnd,0,ghcnd,19.4,ghcnd,,,1018.1,isd_lite,,,4,isd_lite dwd_mosmix
2024,1,13,10.3,ghcnd,2.2,ghcnd,15.6,ghcnd,66,isd_lite,26.2,ghcnd,0,ghcnd,32.8,ghcnd,,,995.4,isd_lite,,,6,dwd_mosmix isd_lite
2024,1,14,2.9,ghcnd,-2.7,ghcnd,7.2,ghcnd,40,isd_lite,0.0,ghcnd,0,ghcnd,31.3,ghcnd,,,1012.2,isd_lite,,,3,isd_lite dwd_mosmix
2024,1,15,-2.5,ghcnd,-4.3,ghcnd,-1.0,ghcnd,41,isd_lite,1.0,ghcnd,0,ghcnd,13.3,ghcnd,,,1023.2,isd_lite,,,6,dwd_mosmix isd_lite
2024,1,16,-2.2,ghcnd,-4.9,ghcnd,0.0,ghcnd,77,isd_lite,8.4,ghcnd,5,ghcnd,21.2,ghcnd,,,1011.6,isd_lite metar,,,7,dwd_mosmix isd_lite
2024,1,17,-4.9,ghcnd,-7.1,ghcnd,-3.8,ghcnd,44,isd_lite,0.0,ghcnd,3,ghcnd,25.9,ghcnd,,,1015.3,isd_lite,,,1,isd_lite
2024,1,18,-2.9,ghcnd,-4.9,ghcnd,1.1,ghcnd,39,isd_lite,0.0,ghcnd,3,ghcnd,15.8,ghcnd,,,1020.2,isd_lite,,,6,dwd_mosmix isd_lite
2024,1,19,-0.6,ghcnd,-2.7,ghcnd,0.6,ghcnd,62,isd_lite,0.8,ghcnd,0,ghcnd,18.0,ghcnd,,,1010.8,isd_lite,,,8,dwd_mosmix isd_lite
2024,1,20,-4.7,ghcnd,-7.1,ghcnd,-2.7,ghcnd,52,isd_lite,0.0,ghcnd,3,ghcnd,32.8,ghcnd,,,1014.7,isd_lite,,,5,isd_lite dwd_mosmix
2024,1,21,-4.3,ghcnd,-6.0,ghcnd,0.0,ghcnd,49,isd_lite,0.0,ghcnd,3,ghcnd,31.0,ghcnd,,,1026.2,isd_lite,,,2,isd_lite dwd_mosmix
2024,1,22,-1.2,ghcnd,-3.2,ghcnd,3.3,ghcnd,46,isd_lite,0.0,ghcnd,0,ghcnd,17.6,ghcnd,,,1033.0,isd_lite,,,4,isd_lite dwd_mosmix
2024,1,23,2.9,ghcnd,1.7,ghcnd,5.0,ghcnd,55,isd_lite,0.8,ghcnd,0,ghcnd,10.8,ghcnd,,,1032.1,isd_lite,,,7,dwd_mosmix isd_lite
